"movie_name","boxtot","year","month","ThreeD","Summer"
"The Love Guru",30.861198,2008,6,0,"Summer"
"The Lovely Bones",39.223431,2010,1,0,"Not Summer"
"The Lucky One",57.712833,2012,4,0,"Summer"
"The Magnificent Seven (2016)",89.481904,2016,9,0,"Not Summer"
"The Man From U.N.C.L.E.",43.777354,2015,8,0,"Summer"
"The Man with the Iron Fists",13.962975,2012,11,0,"Not Summer"
"The Marine",12.617834,2006,10,0,"Not Summer"
"The Martian",217.96823,2015,10,1,"Not Summer"
"The Master",13.096908,2012,9,0,"Not Summer"
"The Matador",9.147935,2006,1,0,"Not Summer"
"The Maze Runner",91.770093,2014,9,0,"Not Summer"
"The Mechanic",26.882693,2011,1,0,"Not Summer"
"The Men Who Stare at Goats",30.253357,2009,11,0,"Not Summer"
"The Messengers",31.796543,2007,2,0,"Not Summer"
"The Mist",23.718853,2007,11,0,"Not Summer"
"The Monuments Men",74.733726,2014,2,0,"Not Summer"
"The Mortal Instruments: City of Bones",28.514606,2013,8,0,"Summer"
"The Mummy: Tomb of the Dragon Emperor",97.858315,2008,8,0,"Summer"
"The Muppets",83.561073,2011,1,0,"Not Summer"
"The Nanny Diaries",21.807287,2007,8,0,"Summer"
"The Nativity Story",31.578,2006,12,0,"Not Summer"
"The New World",5.085,2006,1,0,"Not Summer"
"The Next Three Days",19.275946,2010,11,0,"Not Summer"
"The Nice Guys",30.542192,2016,5,0,"Summer"
"The Night Before",41.759236,2015,11,0,"Not Summer"
"The Night Listener",3.554134,2006,8,0,"Summer"
"The November Man",23.682577,2014,8,0,"Summer"
"The Number 23",34.528,2007,2,0,"Not Summer"
"The Nut Job",58.27778,2014,1,1,"Not Summer"
"The Odd Life of Timothy Green",46.372284,2012,8,0,"Summer"
"The Omen (2006)",49.880572,2006,6,0,"Summer"
"The Other Boleyn Girl",23.662408,2008,2,0,"Not Summer"
"The Other Guys",115.40344,2010,8,0,"Summer"
"The Other Woman (2014)",81.595693,2014,4,0,"Summer"
"The Peanuts Movie",125.784589,2015,11,1,"Not Summer"
"The Perfect Guy",52.807933,2015,9,0,"Not Summer"
"The Perfect Holiday",2.930188,2007,12,0,"Not Summer"
"The Perfect Match",8.041628,2016,3,0,"Not Summer"
"The Perks of Being a Wallflower",6.970625,2012,10,0,"Not Summer"
"The Pink Panther (2006)",79.293594,2006,2,0,"Not Summer"
"The Pink Panther 2",29.475898,2009,2,0,"Not Summer"
"The Pirates Who Don't Do Anything",8.69242,2008,1,0,"Not Summer"
"The Pirates! Band of Misfits",27.642125,2012,4,0,"Summer"
"The Place Beyond the Pines",20.187748,2013,4,0,"Summer"
"The Possession",46.049318,2012,8,0,"Summer"
"The Prestige",49.827509,2006,10,0,"Not Summer"
"The Princess and the Frog",97.534038,2009,1,0,"Not Summer"
"The Proposal",151.925803,2009,6,0,"Summer"
"The Protector (2006)",9.940816,2006,9,0,"Not Summer"
"The Purge",61.56272,2013,6,0,"Summer"
"The Purge: Anarchy",66.97798,2014,7,0,"Summer"
"The Purge: Election Year",74.24222,2016,7,0,"Summer"
"The Pursuit of Happyness",159.893141,2006,1,0,"Not Summer"
"The Pyramid",1.487796,2014,12,0,"Not Summer"
"The Queen",49.286,2006,1,0,"Not Summer"
"The Quiet Ones",6.886873,2014,4,0,"Summer"
"The Raven",14.883422,2012,4,0,"Summer"
"The Reader",30.577579,2009,2,0,"Not Summer"
"The Reaping",21.096446,2007,4,0,"Summer"
"The Return",4.479621,2006,11,0,"Not Summer"
"The Revenant",180.812672,2016,1,0,"Not Summer"
"The Ringer",25.000553,2006,1,0,"Not Summer"
"The Rite",29.521439,2011,1,0,"Not Summer"
"The Road",1.977453,2009,11,0,"Not Summer"
"The Rocker",0.577343,2008,8,0,"Summer"
"The Roommate",34.501376,2011,2,0,"Not Summer"
"The Ruins",14.61888,2008,4,0,"Summer"
"The Rum Diary",11.567984,2011,10,0,"Not Summer"
"The Santa Clause 3: The Escape Clause",77.986756,2006,11,0,"Not Summer"
"The Second Best Exotic Marigold Hotel",30.823504,2015,3,0,"Not Summer"
"The Secret in their Eyes (2015)",18.037025,2015,11,0,"Not Summer"
"The Secret Life of Bees",35.926166,2008,10,0,"Not Summer"
"The Secret Life of Pets",359.818405,2016,7,1,"Summer"
"The Secret Life of Walter Mitty",48.290762,2013,1,0,"Not Summer"
"The Secret World of Arrietty",14.50892,2012,2,0,"Not Summer"
"The Seeker: The Dark Is Rising",7.167028,2007,10,0,"Not Summer"
"The Sentinel",32.041884,2006,4,0,"Summer"
"The Shaggy Dog",54.498882,2006,3,0,"Not Summer"
"The Shallows",48.395089,2016,6,0,"Summer"
"The Simpsons Movie",174.895901,2007,7,0,"Summer"
"The Sisterhood of the Traveling Pants 2",39.378081,2008,8,0,"Summer"
"The Sitter",19.905546,2011,12,0,"Not Summer"
"The Skeleton Twins",2.799108,2014,9,0,"Not Summer"
"The Smurfs",133.676705,2011,7,1,"Summer"
"The Smurfs 2",59.816118,2013,7,1,"Summer"
"The Social Network",85.32525,2010,10,0,"Not Summer"
"The Soloist",28.395832,2009,4,0,"Summer"
"The Sorcerer's Apprentice",54.701617,2010,7,0,"Summer"
"The Spiderwick Chronicles",66.588069,2008,2,0,"Not Summer"
"The Spirit",11.484325,2008,12,0,"Not Summer"
"The SpongeBob Movie: Sponge Out of Water",158.838829,2015,2,1,"Not Summer"
"The Spy Next Door",18.544619,2010,1,0,"Not Summer"
"The Stepfather (2009)",25.355785,2009,10,0,"Not Summer"
"The Strangers",50.619745,2008,5,0,"Summer"
"The Switch",23.004729,2010,8,0,"Summer"
"The Taking of Pelham 1 2 3",61.616068,2009,6,0,"Summer"
"The Tale of Despereaux",44.04815,2008,1,0,"Not Summer"
"The Texas Chainsaw Massacre: The Beginning",36.886863,2006,10,0,"Not Summer"
"The Theory of Everything",18.232573,2014,11,0,"Not Summer"
